"","model_S$FREQUENCY","V2","V3"
"906",2,39.55,-104.77
"907",2,39.14,-76.62
"908",2,38.54,-76.07
"909",2,39.54,-76.09
"910",2,39.1,-77.2
"911",2,38.75,-76.88
"912",2,39.28,-94.42
"913",2,39.08,-94.58
"914",2,39.09,-94.57
"915",2,38.78,-90.48
"916",2,39.38,-94.58
"917",2,38.98,-93.42
"918",2,38.62,-90.24
"919",2,38.98,-90.96
"920",2,38.97,-92.34
"921",2,39.38,-93.49
"922",2,38.7,-93.22
"923",2,38.77,-93.72
"924",2,38.65,-90.28
"925",2,38.64,-90.26
"926",2,39.48,-74.54
"927",2,39.52,-75.22
"928",2,39.59,-75.18
"929",2,39.21,-84.48
"930",2,39.15,-84.37
"931",2,39.35,-83.39
"932",2,39.16,-111.82
"933",2,39.4,-87.4
"934",2,39.48,-86.08
"935",2,38.86,-86.51
"936",2,39.04,-87.13
"937",2,39.17,-119.77
"938",2,39.48,-118.77
"939",2,38.92,-119.72
"940",2,38.64,-90.49
"941",2,39.62,-85.44
"942",2,39.13,-87.41
"943",2,38.7,-85.79
"944",2,38.82,-77.11
"945",2,38.93,-78.2
"946",2,38.71,-77.81
"947",2,38.89,-77.13
"948",2,39.14,-77.55
"949",2,39.03,-82.64
"950",2,38.65,-84.58
"951",2,39.36,-76.59
"952",2,39.27,-76.67
"953",2,39.33,-76.61
"954",2,38.98,-76.87
"955",2,39.09,-74.82
"956",2,39.14,-76.8
"957",2,39.21,-76.89
"958",2,39.26,-76.79
"959",2,39.39,-76.62
"960",2,39.39,-76.61
"961",2,39.05,-84.53
"962",2,39,-79.14
"963",2,39.07,-84.52
"964",2,39.41,-79
"965",2,38.9,-89.41
"966",2,39.41,-88.81
"967",2,39.46,-82.24
"968",2,39.36,-84.37
"969",2,38.86,-83.9
"970",2,39.31,-84.52
"971",2,39.44,-83.84
"972",2,39.44,-74.69
"973",2,39.36,-74.43
"974",2,39.44,-75.22
"975",2,39.12,-84.51
"976",2,39.14,-84.52
"977",2,39.18,-84.6
"978",2,39.25,-84.42
"979",2,39.22,-83.61
"980",2,39.13,-84.52
"981",2,39.44,-119.76
"982",2,39.22,-85.9
"983",2,38.75,-82.98
"984",2,39.26,-114.86
"985",2,39.35,-112.56
"986",2,39.61,-86.36
"987",2,39.21,-86.55
"988",2,39.16,-86.54
"989",2,39.53,-111.46
"990",2,38.57,-86.48
"991",2,38.67,-87.53
"992",2,39.39,-76.96
"993",2,39.14,-80.06
